{'01044099999': -10.0, '02293099999': -27.6}
         384086 function calls (378509 primitive calls) in 4.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 utils.py:819(get_environ_proxies)
        2    0.000    0.000    0.001    0.000 netrc.py:23(__init__)
        1    0.001    0.001    0.001    0.001 models.py:641(Response)
        1    0.000    0.000    0.001    0.001 request.py:939(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 netrc.py:1(<module>)
      371    0.000    0.000    0.001    0.000 enum.py:470(__setattr__)
  136/135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      461    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 cookiejar.py:1251(CookieJar)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2254(_IPv6Constants)
        2    0.000    0.000    0.000    0.000 adapters.py:296(build_response)
        2    0.000    0.000    0.000    0.000 netrc.py:36(_parse)
       10    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
        2    0.000    0.000    0.000    0.000 models.py:410(prepare_url)
        1    0.000    0.000    0.000    0.000 core.py:51(where)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       20    0.000    0.000    0.000    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.000    0.000 resources.py:107(path)
       10    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       10    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 request.py:2487(getproxies_environment)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:225(connection_from_host)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      311    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
       16    0.000    0.000    0.000    0.000 shlex.py:101(get_token)
        2    0.000    0.000    0.000    0.000 poolmanager.py:248(connection_from_context)
      994    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
      139    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       22    0.000    0.000    0.000    0.000 parse.py:371(urlparse)
        2    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       14    0.000    0.000    0.000    0.000 shlex.py:133(read_token)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
     10/8    0.000    0.000    0.000    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       14    0.000    0.000    0.000    0.000 structures.py:40(__init__)
      735    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       72    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       10    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 cd.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      310    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1532(_IPv4Constants)
        2    0.000    0.000    0.000    0.000 response.py:633(from_httplib)
        1    0.000    0.000    0.000    0.000 load.py:63(get_min_temperatures)
      735    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.000    0.000 load.py:64(<dictcomp>)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
        2    0.000    0.000    0.000    0.000 poolmanager.py:263(connection_from_pool_key)
     1519    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 utils.py:759(should_bypass_proxies)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
        1    0.000    0.000    0.000    0.000 _common.py:38(get_resource_reader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        8    0.000    0.000    0.000    0.000 typing.py:483(Union)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1138(__getitem__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
     1358    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       17    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:189(_new_pool)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connectionpool.py:914(__init__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
      177    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
        4    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
       12    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
       45    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       32    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
      167    0.000    0.000    0.000    0.000 typing.py:986(__setattr__)
      216    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
        2    0.000    0.000    0.000    0.000 sessions.py:389(__init__)
      521    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
     2569    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
