{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1458    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       33    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       80    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        6    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
      310    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       20    0.000    0.000    0.000    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
     1108    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      921    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
      133    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    75/63    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      184    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
      310    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        4    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
       71    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
     1108    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       44    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        9    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        6    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 typing.py:523(Optional)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       82    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      304    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      167    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
